platform,day_of_the_week,post_type,impressions,hashtag,hastages_category,number_of_hastage,unnamed:_11,performance_binary,day_code,hour,time_code,hashtag_count,post_type_code,platform_code
Instagram,4,image,179,"#HumanTraffickingAwarenessDay #FreedomForAll #RaiseYourVoice #SocialImpactDesign
Graphura",National & Cultural,4,,1,3,0,0,5,2,0
Instagram,2,image,600,#SpreadSmiles #PositiveVibes #CreativeEnergy #graphura,Career & Learning,4,,1,1,0,0,4,2,0
Instagram,6,carousel,459,#SkincareBranding #ProductBranding #DesignAgency #VisualIdentity,Business & Marketing,4,,1,5,0,0,4,1,0
Instagram,3,image,209,#Graphura #BusinessIntelligence #DataDriven #TechSolutions,Business & Marketing,4,,1,2,0,0,4,2,0
Instagram,1,image,273,#ProfessionalWebDevelopment #WebSolutions #FrontendDevelopment #BackendDevelopment,Business & Marketing,4,,1,0,0,0,4,2,0
Instagram,5,image,298,#DataAnalytics #BusinessIntelligence #Graphura #DataDriven,Business & Marketing,4,,1,4,0,0,4,2,0
Instagram,5,carousel,459,#Graphura2026 #NewBeginnings #HackathonIndia #placementopportunities,Business & Marketing,4,,1,4,0,0,4,1,0
Instagram,3,image,290,#InclusiveDesign #AccessibilityMatters #DesignWithPurpose #Graphura,Business & Marketing,4,,1,2,0,0,4,2,0
Instagram,7,image,358,#SalesOptimization #DigitalGrowth #CRO #MarketingStrategy,Tech & Analytics,4,,1,6,0,0,4,2,0
Instagram,4,image,355,#Graphura #NewBeginnings #CreativeAgency #DesignStudio,Tech & Analytics,4,,1,3,0,0,4,2,0
Instagram,3,image,234,#NewYearsEve #Graphura #CreativeDesign #DesignStudio,Business & Marketing,4,,1,2,0,0,4,2,0
Instagram,2,carousel,414,#GraphicDesign #CreativeAgency #BrandDesign #VisualIdentity,Business & Marketing,4,,1,1,0,0,4,1,0
Instagram,1,image,325,#LogoDesign #BrandIdentity #CreativeDesign #BrandingDesign,Business & Marketing,4,,1,0,0,0,4,2,0
Instagram,7,reel,2252,#CreativeAgency #BrandDesign #GraphicDesign #VisualIdentity,Career & Learning,4,,0,6,0,0,4,3,0
Instagram,6,image,352,#GraphicDesign #CreativeDesign #BrandVisuals #MarketingGraphics,National & Social Impact,4,,0,5,0,0,4,2,0
Instagram,5,reel,752,#CreativeDesign #DigitalBranding #VisualStorytelling #ReelDesign,National & Social Impact,4,,0,4,0,0,4,3,0
Instagram,3,image,333,#Graphura #FestiveDesign #CreativeBranding #DesignWithPurpose,National & Social Impact,4,,1,2,0,0,4,2,0
Instagram,1,image,299,#FarmersOfIndia #RespectOurFarmers #FeedingTheNation #AgricultureIndia,National & Social Impact,4,,1,0,0,0,4,2,0
Instagram,1,reel,508,#CreativeDesign #VisualStorytelling #BrandIdentity #DigitalCreativity,Business & Marketing,4,,0,0,0,0,4,3,0
Instagram,6,image,319,#UIUXDesign #UserExperience #UXUI #DesignAgency,Business & Marketing,4,,1,5,0,0,4,2,0
Instagram,6,carousel,426,#CreativeAgency #DigitalDesign #BrandIdentity #VisualContent,Business & Marketing,4,,0,5,0,0,4,1,0
Instagram,4,reel,356,#CreativeAgency #DigitalMarketing #BrandingDesign #SocialMediaContent,Business & Marketing,4,,1,3,0,0,4,3,0
Instagram,3,image,308,#SocialMediaMarketing #DigitalMarketing #BrandGrowth #OnlinePresence,Tech & Analytics,4,,0,2,0,0,4,2,0
Instagram,2,image,365,#Graphura #CreativeEditing #CinematicQuality #VisualStorytelling,Career & Learning,4,,0,1,0,0,4,2,0
Instagram,1,reel,790,#InternshipCulture #FutureProfessionals #SkillDevelopment #BrandIdentity,Business & Marketing,4,,0,0,0,0,4,3,0
Instagram,7,image,379,#Graphura #DigitalMarketing #LeadGeneration #bulkemail,Career & Learning,4,,0,6,0,0,4,2,0
Instagram,6,image,370,#SaveEnergy #SustainableFuture #GreenThinking #EcoAwareness,Environment & Sustainability,4,,0,5,0,0,4,2,0
Instagram,5,image,418,#WebDesignServices #WebsiteDevelopment #DigitalPresence #ResponsiveDesign,Career & Learning,4,,0,4,0,0,4,2,0
Instagram,7,reel,761,#BrandGrowth #CreativeDesigns #DigitalBranding #ContentThatConnects,Business & Marketing,4,,0,6,0,0,4,3,0
Instagram,7,image,699,#BeyondProfit #EntrepreneurJourney #QalaExim,Career & Learning,3,,0,6,0,0,3,2,0
Instagram,7,image,393,#ContentWriting #ContentCreator #SEOArticles #Copywriting,Business & Marketing,4,,0,6,0,0,4,2,0
Instagram,2,image,490,#StandForEquality #JusticeForAll #RightsMatter #VoiceForHumanity,Business & Marketing,4,,0,1,0,0,4,2,0
Instagram,6,reel,577,#BrandExcellence #LogoDesign #VisualImpact #CreativeSolutions,Business & Marketing,4,,0,5,0,0,4,3,0
Instagram,4,image,551,#IndianArmedForces #SaluteToHeroes #ProudIndian #NationFirst,National & Social Impact,4,,0,3,0,0,4,2,0
Instagram,4,image,542,#BrandGrowth #SocialMediaMarketing #FacebookMarketing #SEOServices,Career & Learning,4,,0,3,0,0,4,2,0
Instagram,1,reel,628,#BrandPresence #MarketingAgency #CreativeSolutions #DigitalBranding,Business & Marketing,4,,0,0,0,0,4,3,0
Instagram,7,carousel,667,#SolarEnergyIndia #RenewableEnergyBrand #SolarBusinessGrowth #DigitalMarketingForSolar #Graphura #BrandWithGraphura #SolarLeadGeneration,Business & Marketing,7,,0,6,0,0,7,1,0
Instagram,6,reel,1333,#CreateWithGraphura #Graphura #GraphuraOnline #BrandDesign #CreativeAgency #SocialMediaDesign #BrandingStudio #DigitalCreators #ContentDesign #graphicdesignindia,Business & Marketing,10,,0,5,0,0,10,3,0
Instagram,5,carousel,772,#CarRentalDesign #BrandWithGraphura #CreativeDesigns #DigitalBranding #SmartBooking #RentACar #DesignThatSpeaks #MarketingContent #visualbranding,Business & Marketing,9,,0,4,0,0,9,1,0
Instagram,2,reel,752,"#GraphuraOnline #BrandDesign #CreativeAgency #DigitalBranding
#ContentStrategy #KeywordOptimization #SocialMediaGrowth #DesignExperts
#brandvisibility",Business & Marketing,7,,0,1,0,0,9,3,0
Instagram,1,carousel,1066,"#DesignLoud #CreateBold #EditSmart
#WatchLovers #LuxuryWatch #TimepieceStyle
#WatchPhotography #ModernDesign #brandvisuals",National & Social Impact,7,,0,0,0,0,9,1,0
Instagram,7,image,901,#GoogleSolutions #BusinessGrowth #DigitalMarketing #LeadGeneration #SmartAds #MarketingStrategy #BrandVisibility #GrowYourBusiness,National & Social Impact,8,,0,6,0,0,8,2,0
Instagram,5,carousel,936,#BrandIdentity #Graphura #CreativeAgency #FurnitureDesign #VisualBranding,Business & Marketing,5,,0,4,0,0,5,1,0
Instagram,5,carousel,911,#GraphuraDesigns #CreativeByGraphura #FreshlyBaked #BakedWithLove #DessertDesign #SweetCreatives #CarouselDesign #VisualDesign #DesignAgency #FoodPhotography #CreativeVisuals #DesignMagic #Foodstagram #i̇nstadesign,Business & Marketing,14,,0,4,0,0,14,1,0
Instagram,3,carousel,912,#PropertySales #MarketingStrategy #Graphura #BrandingSolutions #digitalmarketing,Business & Marketing,5,,0,2,0,0,5,1,0
Instagram,3,image,794,#ScriptWriting #Graphura #DigitalCreatives #Storytelling #BrandGrowth,Business & Marketing,5,,0,2,0,0,5,2,0
Instagram,2,carousel,846,#EthnicFashion #BrandIdentity #FashionMarketing #CreativeAgency #DigitalBranding #ContentStrategy #FashionBusiness #EthnicWear #BrandGrowth #DesignAgency #SocialMediaBranding,Business & Marketing,11,,0,1,0,0,11,1,0
Instagram,7,carousel,815,#Jewellery #CreativeDesign #BrandingAgency #VisualExcellence #LuxuryVisuals #DesignStudio #DigitalCreatives,Business & Marketing,7,,0,6,0,0,7,1,0
Instagram,6,image,718,#DigitalMarketing #BrandGrowth #SocialMediaTips #MarketingEssentials #Graphura #contentmarketingagency,Business & Marketing,6,,0,5,0,0,6,2,0
Instagram,5,image,928,#CareerGrowth #ProfessionalDevelopment #MotilalOswal #GraphuraIndia #CareerTips #SkillBuilding #ProfessionalCV #StudentCommunity #LearningSession,Career & Learning,9,,0,4,0,0,9,2,0
Instagram,4,image,673,#graphuraindiaprivatelimited #creative #creativity #thinking #children #childrensday #happy,Business & Marketing,7,,0,3,0,0,7,2,0
Instagram,4,image,862,#JBKnowledgePark #CareerOpportunities #InternshipLife #SkillDevelopment #WorkTogether #FutureGoals,Career & Learning,6,,0,3,0,0,6,2,0
Instagram,4,image,1651,#VideoEditing #CreativeExperts #DigitalStorytelling #ContentCreation #VideoVisionaries,Business & Marketing,5,,0,3,0,0,5,2,0
Instagram,2,carousel,1622,#SkinCareEssentials #GlowWithGraphura #BoldSkinCare #RadiantSkin #DesignLeadBeauty,Business & Marketing,5,,0,1,0,0,5,1,0
Instagram,6,image,1445,#DesignYourBrand #CreativeDesigns #LogoDesign #PosterDesign #FlyerDesign #businessbranding,Business & Marketing,6,,0,5,0,0,6,2,0
Instagram,5,image,1935,#AIinEducation #ProfessionalNetworking #LinkedInGrowth #CareerDevelopment #ResearchAndInnovation #DigitalLearning #Networking #skillbuilding,Business & Marketing,8,,0,4,0,0,8,2,0
Instagram,5,carousel,1696,#graphura #design #designer #stationary #student #shop,Health & Fitness,6,,0,4,0,0,6,1,0
Instagram,3,image,1765,#WebsiteDesign #WebDevelopment #DigitalSolutions #BusinessGrowth #BrandIdentity #CreativeDesign #professionalwebsite,Business & Marketing,7,,0,2,0,0,7,2,0
Instagram,5,image,1450,#Graphura #DesignThatSpeaks #FestivalOfLights #CreateBold #EditSmart #DesignLoud #DigitalCreatives #FestivalDesign #indianfestival,Health & Fitness,9,,0,4,0,0,9,2,0
Instagram,5,image,1723,#Graphura #lpu #lpuuniversity #collobration #internship #achivement,Health & Fitness,6,,0,4,0,0,6,2,0
Linkedin,5,image,479,#IndianCoastalDay #IndiaCoastline #CoastalIndia #SustainableDevelopment #BlueEconomy #MaritimeIndia #EnvironmentalAwareness #Graphura #GraphuraIndia,Environment & Sustainability,9,,1,4,0,0,9,2,1
Linkedin,6,image,228,#Graphaura #GoRocketFast #BusinessGrowth #DigitalMarketing #CreativeAgency #BrandingDesign #StartupIndia #GrowYourBusiness #DesignSmart #EditSmart #CreateBold #indiastartup,Business & Marketing,12,,1,5,0,0,12,2,1
Linkedin,5,image,231,#MartyrsDay #ShaheedDiwas #SaluteToHeroes #NationFirst #RememberTheBrave #IndianHeroes #SacrificeForNation #ProudIndian #Graphura,National & Social Impact,9,,1,4,0,0,9,2,1
Linkedin,4,image,248,#Graphura #Marketing #BrandGrowth #BusinessMarketing #StartupMarketing #DigitalGrowth #MarketingForBrands #ScaleYourBrand #BusinessStrategy ,Business & Marketing,10,,1,3,0,0,9,2,1
Linkedin,3,image,425,#Graphura #BrandingByGraphura #LogoDesign #BrandStorytelling #BrandIdentity #CreativeBranding #StartupBranding,Business & Marketing,7,,1,2,0,0,7,2,1
Linkedin,2,image,366,#Graphura #DesignedByGraphura #BikeAdvertising #CarouselDesign #SocialMediaCreatives #DigitalMarketing #VisualStorytelling,Business & Marketing,7,,1,1,0,0,7,2,1
Linkedin,1,Video,820,#Graphura #Graphurainternship #MarketingEvolution #OldVsNewMarketing #DigitalMarketingAgency #BrandGrowth #ModernMarketing #BusinessScaling #ContentDriven,Business & Marketing,9,,1,0,0,0,9,0,1
Linkedin,7,Video,544,#RepublicDay #26thJanuary #Graphura #DesignTutorial #PosterDesign #GraphicDesignTips #CreativeIndia #DesignReel #IndianDesigners #CanvaDesign #VisualStorytelling #JaiHind,Business & Marketing,12,,1,6,0,0,12,0,1
Linkedin,7,image,993,"#NationalVotersDay #NationalTourismDay #Graphura #CareerJourney #ProfessionalGrowth #ExploreLearnContribute #FutureLeaders #InternshipOpportunity #Graphura
",Business & Marketing,9,,1,6,0,0,9,2,1
Linkedin,6,image,980,#DayOfTheGirlChild #Graphura #EmpowerHer #GirlsInLeadership #FutureLeaders #WomenEmpowerment #EducationForAll #SheLeads #GirlPower #graphurainternship,Business & Marketing,10,,1,5,0,0,10,2,1
Linkedin,5,image,990,"#Graphura #2KFollowers #LinkedInGrowth #MilestoneMoment #CommunityDriven #ProfessionalJourney #StartupLife #Grateful #GrowingTogether
",Business & Marketing,9,,1,4,0,0,9,2,1
Linkedin,4,image,817,#NetajiSubhasChandraBoseJayanti #NetajiJayanti #Graphura #Graphura #Leadership #Inspiration #NationFirst #VisionaryLeader #IndianHeroes,National & Social Impact,9,,1,3,0,0,9,2,1
Linkedin,3,image,409,#Graphura #CreativeStrategy #BusinessGrowth #BrandConsultation #DesignStrategy #BrandBuilding #SmartDesign #VisualPlanning #MarketingStrategy,Business & Marketing,9,,1,2,0,0,9,2,1
Linkedin,2,image,350,#Graphura #BrandingDesign #VisualIdentity #HaircareBranding #CreativeDesign #DigitalBranding #MarketingDesign #BrandStory #GraphuraOnline,Business & Marketing,9,,1,1,0,0,9,2,1
Linkedin,1,image,271,#graphura #GymBranding #FitnessBusiness #GymMarketing #VisualDesign #BrandIdentity #DigitalAdvertising #digitalmarketing,Business & Marketing,8,,1,0,0,0,8,2,1
Linkedin,7,Video,293,#Graphura #service #instagram #webdevelopment #graphicdesign,Business & Marketing,5,,1,6,0,0,5,0,1
Linkedin,6,image,371,"#Graphura #GraphuraDesigns #CreativeDesign #SocialMediaDesign #CarouselPost #FruitJuice #BeverageBranding #DigitalCreatives #VisualDesign #MarketingCreatives #BrandingIndia #InstagramMarketing #DesignAgency #GraphicDesignIndia #CreativityAtWork
",Business & Marketing,15,,1,5,0,0,15,2,1
Linkedin,5,image,852,#StartupDay #GraphuraSupportsStartups #Graphura #StartupsIndia #Founders #Entrepreneurlife #Innovation #Brandbuilding #Digitalgrowth #Buildinindia #Ideastoimpact,Business & Marketing,11,,1,4,0,0,11,2,1
Linkedin,4,Video,323,#graphura #digitalmarketingagency #smmservices #seoexpert #paidads,Business & Marketing,5,,1,3,0,0,5,0,1
Linkedin,3,image,442,#GraphuraIndia #MakarSankranti #HappyPongal #FestivalOfHarvest #NewBeginnings #IndianFestivals #GraphuraWishes #CulturalCelebration,Festivals & Culture,8,,1,2,0,0,8,2,1
Linkedin,2,image,819,#Graphura #GraphuraDesigns #BakeryAdvertising #FoodBranding #BakeryMarketing #CreativeAgency #VisualMarketing #BrandWithGraphura #SmallBusinessBranding #FoodBusinessGrowth,Business & Marketing,10,,1,1,0,0,10,2,1
Linkedin,2,image,931,#VivekanandaJayanti #SwamiVivekananda #YouthOfIndia #IndianYouth #MindsetMatters #RiseAndShine #ThinkBig #PositiveVibesOnly,Festivals & Culture,8,,1,1,0,0,8,2,1
Linkedin,7,image,1197,"#StopHumanTrafficking #HumanTraffickingAwarenessDay #FreedomForAll #RaiseYourVoice #SocialImpactDesign
#Graphura #DesignForChange #CreativeForCause #DigitalWithPurpose",Business & Marketing,8,,1,6,0,0,9,2,1
Linkedin,4,image,543,#WorldLaughterDay #SpreadSmiles #PositiveVibes #CreativeEnergy #Graphura #DesignWithPurpose #HappinessAtWork,Environment & Sustainability,7,,1,3,0,0,7,2,1
Linkedin,2,image,443,#Graphura #SkincareBranding #ProductBranding #DesignAgency #VisualIdentity #CreativeDesign #BrandDesign #PackagingDesign #MarketingCreatives #DesignThatSells,Business & Marketing,10,,1,1,0,0,10,2,1
Linkedin,6,image,335,#Graphura #DataVisualization #DataInsights #BusinessAnalytics #SmartData #DigitalSolutions #TechDesign #DataDriven #AnalyticsTools #VisualData,Business & Marketing,10,,1,5,0,0,10,2,1
Linkedin,3,image,277,#Graphura #ProfessionalWebDevelopment #WebSolutions #FrontendDevelopment #BackendDevelopment #TechForBusiness #DigitalInnovation #WebsiteExperts #OnlinePresence,Business & Marketing,9,,0,2,0,0,9,2,1
Linkedin,1,image,347,#DataScraping #DataAnalytics #BusinessIntelligence #Graphura #DataDriven #SmartDecisions #TechSolutions #DigitalGrowth #AnalyticsServices #BigData,Business & Marketing,10,,1,0,0,0,10,2,1
Linkedin,5,image,458,"#Graphura #Graphura2026 #NewBeginnings #HackathonIndia #PlacementOpportunities
#SkillDevelopment #OnlineCourses #GamingEvent #InnovationHub #FutureReady",Environment & Sustainability,9,,1,4,0,0,10,2,1
Linkedin,3,image,269,#WorldBrailleDay #InclusiveDesign #AccessibilityMatters #DesignWithPurpose #Graphura #CreativeForAll #DesignThatSpeaks,Business & Marketing,7,,1,2,0,0,7,2,1
Linkedin,7,image,245,#Graphura #SalesOptimization #DigitalGrowth #CRO #MarketingStrategy #BusinessGrowth #LeadConversion #SmartMarketing,Business & Marketing,8,,0,6,0,0,8,2,1
Linkedin,4,image,279,#HappyNewYear2026 #Graphura #NewBeginnings #CreativeAgency #DesignStudio #DigitalGrowth #Innovation #CreativeMinds #BusinessGoals #SuccessJourney,Business & Marketing,10,,1,3,0,0,10,2,1
Linkedin,4,image,398,#Graphura #Welcoming2026 #CreativeJourney #DesignInnovation #BrandGrowth #VisualExcellence #GraphuraIndia #FutureReady,Business & Marketing,8,,0,3,0,0,8,2,1
Linkedin,3,image,192,#HappyNewYear #NewYearsEve #Graphura #CreativeDesign #DesignStudio #BrandingGoals #2026Vibes #NewYearCreatives,Business & Marketing,8,,1,2,0,0,8,2,1
Linkedin,2,image,261,#Graphura #GraphicDesign #CreativeAgency #BrandDesign #VisualIdentity #DesignStudio #BrandingAgency #CreativeVisuals #DesignThatWorks #SocialMediaDesign,Business & Marketing,10,,1,1,0,0,10,2,1
Linkedin,1,image,177,#Graphura #LogoDesign #BrandIdentity #CreativeDesign #BrandingDesign #VisualIdentity #GraphicDesignStudio #LogoInspiration #DesignAgency #CreativeBrand,Business & Marketing,10,,1,0,0,0,10,2,1
Linkedin,7,image,279,#Graphura #CreativeAgency #BrandDesign #GraphicDesign #VisualIdentity #DesignStudio #CreativeBranding #DigitalDesign #BrandBuilding #DesignThatSpeaks,Business & Marketing,10,,0,6,0,0,10,2,1
Linkedin,6,image,187,#Graphura #GraphicDesign #CreativeDesign #BrandVisuals #MarketingGraphics #SocialMediaDesign #DesignThatWorks #CreativeAgency #BrandGrowth,Business & Marketing,9,,0,5,0,0,9,2,1
Linkedin,5,image,195,#Graphura #CreativeDesign #DigitalBranding #VisualStorytelling #ReelDesign #ContentCreators #BrandGrowth #DesignAgency #SocialMediaCreative,Business & Marketing,9,,0,4,0,0,9,2,1
Linkedin,3,image,240,#ChristmasEve #FestiveDesign #Graphura #CreativeBranding #HolidayCreativity #DesignStudio #VisualStorytelling #FestiveVibes,Business & Marketing,8,,0,2,0,0,8,2,1
Linkedin,2,image,212,#NationalFarmersDay #FarmersOfIndia #RespectOurFarmers #FeedingTheNation #AgricultureIndia #RuralIndia #HarvestSeason #FarmLife #Graphura #DesignWithPurpose #CreateBold #DigitalCreativity,Business & Marketing,12,,0,1,0,0,12,2,1
Linkedin,1,image,257,#Graphura #CreativeDesign #VisualStorytelling #BrandIdentity #DigitalCreativity #DesignStudio #ContentCreators,Business & Marketing,7,,0,0,0,0,7,2,1
Linkedin,7,image,206,#Graphura #UIUXDesign #UserExperience #UXUI #DesignAgency #CreativeDesign #DigitalDesign #ProductDesign #WebDesign #DesignThatWorks,Business & Marketing,10,,0,6,0,0,10,2,1
Linkedin,6,image,312,"#Graphura #CreativeAgency #DigitalDesign #BrandIdentity #VisualContent #MarketingAgency #GrowYourBrand #DesignStudio #DigitalGrowth 
",Business & Marketing,10,,0,5,0,0,9,2,1
Linkedin,5,image,171,#Graphura #CreativeAgency #DigitalMarketing #BrandingDesign #SocialMediaContent #BusinessGrowth #CreativeStudio #OnlineBranding ,Business & Marketing,9,,0,4,0,0,8,2,1
Linkedin,4,image,244,#Graphura #SocialMediaMarketing #DigitalMarketing #BrandGrowth #OnlinePresence #LeadGeneration #BusinessGrowth #CreativeMarketing,Business & Marketing,8,,0,3,0,0,8,2,1
Linkedin,3,image,276,#VideoEditing #Graphura #CreativeEditing #CinematicQuality #VisualStorytelling #DigitalCreatives #BrandVideos,Business & Marketing,7,,0,2,0,0,7,2,1
Linkedin,2,image,591,#Graphura #InternshipCulture #FutureProfessionals #SkillDevelopment #BrandIdentity,Business & Marketing,5,,0,1,0,0,5,2,1
Linkedin,1,image,301,#EmailMarketing #Graphura #DigitalMarketing #LeadGeneration #BulkEmail #MarketingSolutions #GrowYourBusiness,Business & Marketing,7,,0,0,0,0,7,2,1
Linkedin,7,image,243,#NationalEnergyConservationDay #SaveEnergy #SustainableFuture #GreenThinking #EcoAwareness #ResponsibleDesign #Graphura #DesignWithPurpose #EnergyEfficiency,Environment & Sustainability,9,,0,6,0,0,9,2,1
Linkedin,6,image,219,#Graphura #WebDesignServices #WebsiteDevelopment #DigitalPresence #ResponsiveDesign #SEOFriendly #CustomWebsites #BrandGrowth #BusinessOnline #DesignThatWorks,Business & Marketing,10,,0,5,0,0,10,2,1
Linkedin,3,Video,228,#Graphura #BrandGrowth #CreativeDesigns #DigitalBranding #ContentThatConnects #DesignForBusiness #VisualIdentity #BrandPresence #MarketingEssentials #GrowthMindset #DesignStudio,Business & Marketing,11,,1,2,0,0,11,0,1
Linkedin,7,image,232,#Graphura #ContentWritingServices #ProfessionalWriters #SEOContent #WebContent #PressReleaseWriting #SocialMediaCopywriting #BrandContent #ContentEditing,Business & Marketing,9,,1,6,0,0,9,2,1
Linkedin,5,image,313,#HumanRightsDay #StandForEquality #JusticeForAll #RightsMatter #VoiceForHumanity #Graphura #DesignForImpact #CreativeAwareness,Business & Marketing,8,,0,4,0,0,8,2,1
Linkedin,2,Video,248,#GraphuraDesign #BrandExcellence #LogoDesign #VisualImpact #CreativeSolutions #ProfessionalDesign #DesignWithPurpose #BrandIdentity #GraphicDesignExperts,Business & Marketing,9,,1,1,0,0,9,0,1
Linkedin,6,image,261,#ArmedForcesFlagDay #IndianArmedForces #SaluteToHeroes #ProudIndian #NationFirst #IndianArmy #IndianNavy #IndianAirForce #TributeToMartyrs #RespectOurSoldiers,National & Social Impact,10,,0,5,0,0,10,2,1
Linkedin,4,image,255,#DigitalAdvertising #BrandGrowth #SocialMediaMarketing #FacebookMarketing #SEOServices #WebDesignExperts #OnlineBranding #DigitalMarketingAgency #GrowWithGraphura,Business & Marketing,9,,1,3,0,0,9,2,1
Linkedin,1,Video,251,#Graphura #BrandPresence #MarketingAgency #CreativeSolutions #DigitalBranding #GrowYourBrand #BrandStrategy,Business & Marketing,7,,0,0,0,0,7,0,1
Linkedin,7,image,390,#SolarMarketing #SolarEnergyIndia #RenewableEnergyBrand #SolarBusinessGrowth #DigitalMarketingForSolar #Graphura #BrandWithGraphura #SolarLeadGeneration,Environment & Sustainability,8,,0,6,0,0,8,2,1
Linkedin,6,Video,339,#Graphura #CreateWithGraphura #Graphura #GraphuraOnline #BrandDesign #CreativeAgency #SocialMediaDesign #BrandingStudio #DigitalCreators #ContentDesign #GraphicDesignIndia,Business & Marketing,11,,0,5,0,0,11,0,1
Linkedin,5,image,282,#Graphura #CarRentalDesign #BrandWithGraphura #CreativeDesigns #DigitalBranding #SmartBooking #RentACar #DesignThatSpeaks #MarketingContent #VisualBranding,Business & Marketing,10,,0,4,0,0,10,2,1
Linkedin,3,Video,361,"#Graphura #GraphuraOnline #BrandDesign #CreativeAgency #DigitalBranding
#ContentStrategy #KeywordOptimization #SocialMediaGrowth #DesignExperts
#BrandVisibility",Business & Marketing,8,,0,2,0,0,10,0,1
Linkedin,2,image,271,"#Graphura #DesignLoud #CreateBold #EditSmart
#WatchLovers #LuxuryWatch #TimepieceStyle
#WatchPhotography #ModernDesign #BrandVisuals",Business & Marketing,8,,0,1,0,0,10,2,1
Linkedin,1,image,284,#Graphura #GoogleSolutions #BusinessGrowth #DigitalMarketing #LeadGeneration #SmartAds #MarketingStrategy #BrandVisibility #GrowYourBusiness,Business & Marketing,9,,0,0,0,0,9,2,1
Linkedin,6,image,339,#DesignStrategy #BrandIdentity #Graphura #CreativeAgency #FurnitureDesign #VisualBranding,Business & Marketing,6,,0,5,0,0,6,2,1
Linkedin,5,image,286,#Graphura #GraphuraDesigns #CreativeByGraphura #FreshlyBaked #BakedWithLove #DessertDesign #SweetCreatives #CarouselDesign #VisualDesign #DesignAgency #FoodPhotography #CreativeVisuals #DesignMagic #Foodstagram #i̇nstadesign,Business & Marketing,15,,0,4,0,0,15,2,1
